Codice	ELENCO PRESTAZIONI
001T	Assistenza diretta
002T	Valutazione dei livelli di dipendenza del paziente a seconda di ogn necessità e bilancio delle risorse disponibili
003T	Elaborazione e gestione del dossier di assistenza
004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
005T	Misurazione e registrazione dei riflessi pupillari o di altri riflessi
006T	Valutazione e registrazione dello stato di coscienza
007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
008T	Registrazione di ECG
009T	Collaborazione alla effettuazione stimolazione farmacologica di un ECG sotto sforzo o con stimolazione farmacologica
010T	Registrazione di altro esame
011T	Preparazione preoperatoria di un paziente
012T	Collaborazione alta preparazione di un operatore in ambiente operatorio in luogo a ridotta carica batterica o in vista di una tecnica da condurre su èampo sterile: lavaggio delle mani, disinfezione, protezione se necessaria (camice, guanti, maschera)
013T	Preparazione dì materiale e strumentario
014T	Preparazione del paziente per una pratica assistenziale e/o un esame e successiva sorveglianza
015T	Somministrazione dei medicinali prescritti per via enterale
016T	Somministrazione dei medicinali prescritti per via parenterale
017T	Somministrazione dei medicinali per via topica
018T	Somministrazione dei medicinali prescritti o di sostanze non medicinali pe1 via inalatoria
019T	Somministrazione dei medicinali per altra via
020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
021T	Perfusione - gestione di una perfusione a termine o a permanenza
022T	Perfusione in bolo
023T	Bendaggio semplice
024T	Bendaggio complesso
025T	Collaborazione alla applicazione di un gesso o di un'altra immobilizzazione
026T	Ablazione di un gesso o di altra immobilizzazione
027T	Posa di un cerotto alla tubercolina o effettuazione di altri test connessi alla TBC
028T	Manipolazione e controllo drenaggi
029T	Azioni varie per assicurare comfort e benessere
030T	Installazione e sorveglianza del neonato in fototerapia
031T	Medicazione semplice
032T	Medicazione complessa
033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
034T	Esecuzione di vaccinazioni prescritte
035T	Raccolta sterile e non sterile di escreti o secreti (ad eccezione di quelli descritti specificatamente dì seguito)
036T	Instillazioni e irrigazioni di cavità, fistole e stomie
037T	Esecuzione di prove allergiche
038T	Collaborazione al medico/altro professionista sanitario in attività generica
039T	Effettuazione collaborativa in strumentazione chirurgica
040T	Collaborazione al medico/altro professionista sanitario;in settore specializzato: da concordare in base all'impegno richiesto
041T	Controllo domiciliare di ùn paziente
042T	Toilette e vestizione funebre
043T	 ;Stimolazione della respirazione generica al di fuori di un programma di riabilitazione respiratoria.
044T	Controllo dell'espettorato.
