	cod_valoremedio_liquidazione	ELENCO PRESTAZIONI
0	001T	Assistenza diretta
1	002T	Valutazione dei livelli di dipendenza del paziente a seconda di ogn necessità e bilancio delle risorse disponibili
2	003T	Elaborazione e gestione del dossier di assistenza
3	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
4	005T	Misurazione e registrazione dei riflessi pupillari o di altri riflessi
5	006T	Valutazione e registrazione dello stato di coscienza
6	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
7	008T	Registrazione di ECG
8	009T	Collaborazione alla effettuazione stimolazione farmacologica di un ECG sotto sforzo o con stimolazione farmacologica
9	010T	Registrazione di altro esame
10	011T	Preparazione preoperatoria di un paziente
11	012T	Collaborazione alta preparazione di un operatore in ambiente operatorio in luogo a ridotta carica batterica o in vista di una tecnica da condurre su èampo sterile: lavaggio delle mani, disinfezione, protezione se necessaria (camice, guanti, maschera)
12	013T	Preparazione dì materiale e strumentario
13	014T	Preparazione del paziente per una pratica assistenziale e/o un esame e successiva sorveglianza
14	015T	Somministrazione dei medicinali prescritti per via enterale
15	016T	Somministrazione dei medicinali prescritti per via parenterale
16	017T	Somministrazione dei medicinali per via topica
17	018T	Somministrazione dei medicinali prescritti o di sostanze non medicinali pe1 via inalatoria
18	019T	Somministrazione dei medicinali per altra via
19	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
20	021T	Perfusione - gestione di una perfusione a termine o a permanenza
21	022T	Perfusione in bolo
22	023T	Bendaggio semplice
23	024T	Bendaggio complesso
24	025T	Collaborazione alla applicazione di un gesso o di un'altra immobilizzazione
25	026T	Ablazione di un gesso o di altra immobilizzazione
26	027T	Posa di un cerotto alla tubercolina o effettuazione di altri test connessi alla TBC
27	028T	Manipolazione e controllo drenaggi
28	029T	Azioni varie per assicurare comfort e benessere
29	030T	Installazione e sorveglianza del neonato in fototerapia
30	031T	Medicazione semplice
31	032T	Medicazione complessa
32	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
33	034T	Esecuzione di vaccinazioni prescritte
34	035T	Raccolta sterile e non sterile di escreti o secreti (ad eccezione di quelli descritti specificatamente dì seguito)
35	036T	Instillazioni e irrigazioni di cavità, fistole e stomie
36	037T	Esecuzione di prove allergiche
37	038T	Collaborazione al medico/altro professionista sanitario in attività generica
38	039T	Effettuazione collaborativa in strumentazione chirurgica
39	040T	Collaborazione al medico/altro professionista sanitario;in settore specializzato: da concordare in base all'impegno richiesto
40	041T	Controllo domiciliare di ùn paziente
41	042T	Toilette e vestizione funebre
42	043T	 ;Stimolazione della respirazione generica al di fuori di un programma di riabilitazione respiratoria.
43	044T	Controllo dell'espettorato.
44	045T	Mantenimento della pervietà delle vie aeree superiori, aspirazione delle secrezioni di un paziente anche se intubato o tracheotomizzato.
45	046T	Manutenzione della cannula di un tracheotomizzato e/o cura del ttacheostoma
46	047T	Ventilazione;manuale;strumentale;o;mediante maschera;e;controllo dell'adattamento di un paziente ad un ventilatore.
47	048T	Predisposizione di un ventilatore e del materiale per l'intubazione oro/naso tracheale.
48	049T	Pulizia e ripristino di un ventilatore e del relativo materiale d'uso.
49	050T	Manipolazione di un drenaggio toracico.
50	051T	Cura del naso e della bocca.
51	052T	Addestramento all'uso di presidi che possono facilitare l'alimentazione.
