cod_valoremedio_liquidazione;count
017t;5371
065t;2518
033t;2471
016t;2329
031t;1849
122r;1416
055t;1077
007t;895
019t;787
004t;761
032t;681
020t;412
023t;386
080t;362
169r;244
075t;203
045t;126
079t;117
046t;96
038t;58
002t;50
091t;45
077t;39
105t;30
029t;25
015t;25
105r;24
009t;23
178r;22
028t;22
122t;15
085t;11
083t;8
044t;7
008t;6
026t;6
140r;6
033T;5
022t;5
169t;4
003t;4
057r;4
156r;4
075r;3
057t;3
167r;3
007r;3
005t;3
077r;3
024t;3
148t;3
112r;3
018t;2
070t;2
076t;2
063t;2
052t;2
160r;2
154r;2
013t;2
056t;2
168r;1
006t;1
007c;1
043t;1
053t;1
047t;1
169R;1
079r;1
061t;1
059t;1
066t;1
035t;1
022r;1
021t;1
081t;1
025t;1
119t;1
112t;1
019r;1
146r;1
