testo_pulito;count
prelievi;707
medicazioni;629
prelievi ematici;527
educazione sanitaria;486
gestione peg;469
gestione catetere vescicale;421
prelievo ematico;369
cateterismo vescicale;322
terapia infusionale;268
gestione cvc;262
terapia endovenosa;260
terapia ev;210
gestione stomie;204
prelievo;202
prelievo venoso;201
bendaggi;198
medicazione;189
prelievi venosi;186
sostituzione catetere vescicale;183
rilevazione parametri vitali;166
gestione cateteri vescicali;148
medicazioni complesse;145
fleboclisi;136
gestione cv;135
medicazioni semplici;134
cambio catetere vescicale;133
catetere vescicale;131
gestione alvo;127
gestione accessi venosi centrali;113
educazione terapeutica;106
gestione accessi venosi;97
gestione picc;97
parametri vitali;96
clisteri;93
supporto psicologico;92
terapia intramuscolare;90
cambio catetere;88
cateteri vescicali;86
flebo;84
infusioni;83
cateterismo;74
rilevazione parametri;72
monitoraggio;71
gestione cateterismo vescicale;69
terapia infusiva;68
gestione tracheostomia;66
terapia sottocutanea;65
clistere;64
posizionamento catetere vescicale;61
sostituzione cv;59
sostituzione peg;57
peg;55
clistere evacuativo;54
gestione drenaggi;54
medicazioni ldp;53
medicazioni semplici e complesse;53
fleboterapia;53
gestione tracheo;52
educazione;52
gestione sng;51
bendaggi elastocompressivi;51
ecg;51
medicazione semplice;51
cure palliative;50
gestione npt;50
terapie infusionali;50
counseling;49
sostituzione cateteri vescicali;46
cambio cv;46
cateterismi vescicali;46
gestione cateteri venosi centrali;45
medicazione complessa;45
terapie endovenose;45
educazione caregiver;43
terapia sc;43
controllo parametri vitali;42
bendaggio;40
terapia im;39
medicazione peg;39
ipodermoclisi;38
monitoraggio parametri vitali;38
terapia endovena;38
nutrizione parenterale;37
educazione care giver;37
terapia iniettiva;36
terapie ev;35
clisteri evacuativi;34
mobilizzazione;33
terapia parenterale;32
monitoraggio parametri;32
addestramento care giver;32
medicazione picc;32
medicazioni chirurgiche;31
gestione tracheostomie;30
gestione catetere venoso centrale;30
cateterismi;30
prelievi domiciliari;30
posizionamento e gestione catetere vescicale;30
npt;29
clisma;29
medicazioni ldd;29
misurazione parametri vitali;28
gestione stomia;28
prelievi ematochimici;27
medicazioni lesioni da pressione;27
medicazione ldp;27
cv;27
bendaggio elastocompressivo;27
addestramento caregiver;26
gestione nutrizione parenterale;26
medicazioni cvc;26
terapia sottocute;26
medicazioni ferite chirurgiche;26
medicazioni avanzate;26
broncoaspirazione;25
posizionamento cvp;25
tp ev;24
cateteri;24
gestione accessi vascolari;24
igiene;23
gestione accessi venosi periferici;23
medicazioni lesioni da decubito;23
gestione nutrizione enterale;23
stomie;22
rimozione punti di sutura;22
medicazioni lesioni;21
terapie infusive;21
educazione al caregiver;21
posizionamento cv;20
colloquio;20
cambio peg;19
medicazione ferite chirurgiche;19
gestione cvp;19
nutrizione enterale;19
supporto caregiver;19
gestione port;19
intramuscolo;18
terapie iniettive;18
medicazione cvc;18
medicazioni ulcere;18
somministrazione terapia;17
bendaggi arti inferiori;17
clisma evacuativo;17
infusione endovenosa;17
gestione accessi venosi centrali e periferici;17
educazione al care giver;17
rilievo parametri vitali;17
somministrazione terapia ev;17
addestramento;16
fasciature;16
supporto al caregiver;16
prevenzione e trattamento lesioni da pressione;16
enteroclismi;16
cure igieniche;16
