testo_corretto;count
prelievo ematico;929
prelievo;919
medicazione;850
gestione catetere vescicale;619
educazione sanitario;497
gestione gastrostomia endoscopica percutanea;477
prelievo venoso;400
cateterismo vescicale;389
gestione catetere venoso centrale;368
terapia infusionale;348
terapia endovenoso;321
terapia endovena;303
sostituzione catetere vescicale;265
bendaggio;247
catetere vescicale;245
gestione stomie;205
medicazione complesso;205
medicazione semplice;200
gestione tracheostomia;175
rilevazione parametri vitale;174
cambio catetere vescicale;168
clistere;160
gestione catetere venoso;148
fleboclisi;142
gestione accesso venoso centrale;138
gestione alvo;130
cambio catetere;112
educazione terapeutica;111
gestione peripherally inserted central catheter;110
terapia sotto cutanea;108
cateterismo;105
terapia intramuscolare;105
infusione;105
gestione accesso venoso;105
terapia infusiva;100
parametri vitale;99
clistere evacuativo;96
supporto psicologico;95
medicazione lesione da pressione;89
bendaggio elastocompressivo;87
flebo;84
rilevazione parametri;83
gestione cateterismo vescicale;81
monitoraggio;77
medicazione semplice e complesso;74
posizionamento catetere vescicale;72
counselling;70
gestione drenaggio;66
gestione sondino naso gastrico;64
medicazione ferita chirurgico;64
sostituzione gastrostomia endoscopica percutanea;62
elettrocardiogramma;60
sostituzione catetere venoso;59
medicazione peripherally inserted central catheter;57
fleboterapia;56
educazione;55
medicazione catetere venoso centrale;55
gastrostomia endoscopica percutanea;55
medicazione gastrostomia endoscopica percutanea;54
cura palliative;53
gestione nutrizione parenterale totale;53
nutrizione parenterale;49
controllo parametri vitale;48
educazione caregiver;46
terapia sottocute;45
medicazione lesione da decubito;45
cambio catetere venoso;45
educazione caregiver caregiver;41
posizionamento e gestione catetere vescicale;40
terapia instramuscolare;40
prelievo domiciliare;40
ipodermoclisi;40
prelievo ematochimico;39
medicazione lesioni da decubito;39
monitoraggio parametri vitale;38
addestramento caregiver caregiver;38
gestione catetere venoso periferico;38
medicazione lesioni;38
medicazione lesioni da pressione;38
terapia parenterale;38
medicazione chirurgico;37
clisma;37
terapia iniettivo;36
mobilizzazione;35
catetere;34
clisma evacuativo;34
medicazione avanzato;33
monitoraggio parametri;32
gestione nutrizione parenterale;31
nutrizione parenterale totale;31
broncoaspirazione;31
posizionamento catetere venoso periferico;30
gestione stomia;30
gestione accesso venoso periferico;30
catetere venoso;29
bendaggio arto inferiore;29
infusione endovenoso;29
gestione nutrizione enterale;28
misurazione parametri vitale;28
gestione accesso vascolare;27
medicazione accesso venoso centrale;26
addestramento caregiver;25
somministrazione terapia endovena;25
gestione port-a-cath;25
medicazione ulcera;25
rimozione punti di sutura;25
fasciatura;24
nutrizione enterale;24
educazione al caregiver;24
colloquio;23
enteroclisma;23
igiene;23
infusione endovena;23
posizionamento catetere venoso;22
stomie;22
gestione catetere;22
gestione accesso venoso centrale e periferico;21
terapia iniettiva;21
gestione terapia infusionale;21
terapia e v;21
somministrazione terapia;21
medicazione accesso venoso;20
emogasanalisi;19
prelievo capillare;19
prelievo di sangue;19
cambio gastrostomia endoscopica percutanea;19
supporto caregiver;19
cura igienico;18
intramuscolo;18
supporto al caregiver;18
medicazione tracheostomia;18
addestramento;18
catetere venoso centrale;18
