testo_pulito;count
prelievi;707
medicazioni;629
prelievi ematici;527
educazione sanitaria;486
gestione peg;467
gestione catetere vescicale;421
prelievo ematico;368
cateterismo vescicale;322
terapia infusionale;268
gestione cvc;260
terapia endovenosa;260
gestione stomie;204
prelievo;202
prelievo venoso;201
bendaggi;198
terapia ev;196
medicazione;189
prelievi venosi;186
sostituzione catetere vescicale;183
rilevazione parametri vitali;166
gestione cateteri vescicali;148
medicazioni complesse;145
fleboclisi;136
medicazioni semplici;134
cambio catetere vescicale;133
catetere vescicale;130
gestione alvo;126
gestione cv;120
gestione accessi venosi centrali;113
educazione terapeutica;106
gestione accessi venosi;97
gestione picc;97
parametri vitali;96
clisteri;93
supporto psicologico;92
terapia intramuscolare;90
cambio catetere;88
cateteri vescicali;86
flebo;84
infusioni;83
cateterismo;74
rilevazione parametri;72
monitoraggio;71
gestione cateterismo vescicale;69
terapia infusiva;68
gestione tracheostomia;66
terapia sottocutanea;65
clistere;64
posizionamento catetere vescicale;61
sostituzione cv;57
sostituzione peg;57
peg;55
clistere evacuativo;54
gestione drenaggi;54
fleboterapia;53
medicazioni semplici e complesse;53
medicazioni ldp;53
educazione;52
gestione tracheo;52
medicazione semplice;51
gestione sng;50
bendaggi elastocompressivi;50
terapie infusionali;50
cure palliative;50
ecg;49
counseling;49
gestione npt;49
cateterismi vescicali;46
sostituzione cateteri vescicali;46
terapie endovenose;45
medicazione complessa;45
gestione cateteri venosi centrali;45
cambio cv;43
controllo parametri vitali;42
educazione caregiver;42
bendaggio;40
medicazione peg;39
terapia sc;39
ipodermoclisi;38
terapia endovena;37
nutrizione parenterale;37
educazione care giver;37
monitoraggio parametri vitali;37
terapia iniettiva;36
addestramento care giver;35
clisteri evacuativi;34
mobilizzazione;33
medicazione picc;32
terapia im;32
terapia parenterale;32
monitoraggio parametri;32
terapie ev;31
medicazioni chirurgiche;31
gestione tracheostomie;30
posizionamento e gestione catetere vescicale;30
cateterismi;30
prelievi domiciliari;30
gestione catetere venoso centrale;30
clisma;29
medicazioni ldd;29
npt;28
gestione stomia;28
misurazione parametri vitali;28
prelievi ematochimici;27
medicazioni lesioni da pressione;27
medicazione ldp;27
bendaggio elastocompressivo;26
terapia sottocute;26
medicazioni avanzate;26
gestione nutrizione parenterale;26
medicazioni ferite chirurgiche;26
medicazioni cvc;25
broncoaspirazione;25
posizionamento cvp;25
cv;25
cateteri;24
gestione accessi vascolari;24
tp ev;23
addestramento caregiver;23
igiene;23
gestione nutrizione enterale;23
gestione accessi venosi periferici;23
medicazioni lesioni da decubito;23
stomie;22
rimozione punti di sutura;22
medicazioni lesioni;21
educazione al caregiver;21
terapie infusive;21
posizionamento cv;20
colloquio;20
medicazione ferite chirurgiche;19
nutrizione enterale;19
gestione port;19
cambio peg;19
gestione cvp;19
medicazione cvc;18
intramuscolo;18
medicazioni ulcere;18
terapie iniettive;18
supporto caregiver;17
infusione endovenosa;17
somministrazione terapia;17
clisma evacuativo;17
gestione accessi venosi centrali e periferici;17
educazione al care giver;17
bendaggi arti inferiori;17
rilievo parametri vitali;17
enteroclismi;16
fasciature;16
cvc;16
prevenzione e trattamento lesioni da pressione;16
cure igieniche;16
addestramento;16
gestione del dolore;16
