index;macroprestazione;testo;cod_valoremedio_liquidazione;testo_pulito
0;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
1;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033T;prelievi venosi
2;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3;Medicazioni Avanzate;Medicazioni varie;031T;medicazioni varie
4;procedure clinico assistenziali;Clistere /svuotamento manuale;080T;clistere svuotamento manuale
5;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
6;Medicazioni Avanzate;Medicazioni ;031T;medicazioni 
7;Medicazioni Avanzate;Medicazioni ;031T;medicazioni 
8;Educazione Sanitaria;Educazione al caregiver;122R;educazione al caregiver
9;Medicazioni Avanzate;Medicazioni ;031T;medicazioni 
10;procedure clinico assistenziali;Clistere;080T;clistere
11;Medicazioni Avanzate;Medicazioni ;031T;medicazioni 
12;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
13;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
14;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
15;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
16;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami ematici;033T;esami ematici
17;procedure clinico assistenziali;T.EV.;016T;tev
18;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
19;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
20;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
21;procedure clinico assistenziali;Cambio catetere vescicale;065T;cambio catetere vescicale
22;procedure clinico assistenziali;Sostituzione catetere vescicale;065T;sostituzione catetere vescicale
23;procedure clinico assistenziali;Fleboclisi;016T;fleboclisi
24;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
25;Medicazioni Avanzate;Medicazioni semplici e avanzate;032T;medicazioni semplici e avanzate
26;Medicazioni Avanzate;Medicazione lesioni;031T;medicazione lesioni
27;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
28;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
30;Medicazioni Avanzate;Medicazioni;031T;medicazioni
31;Medicazioni Avanzate;Medicazione LDD/chirurgica/traumi accidentali;031T;medicazione lddchirurgicatraumi accidentali
32;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
33;procedure clinico assistenziali;Cv;065T;cv
34;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
35;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
36;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo;033T;prelievo
37;procedure clinico assistenziali;Terapia infusiva e nutrizioni parenterali;016T;terapia infusiva e nutrizioni parenterali
38;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
39;Medicazione semplice;Medicazioni varie;031T;medicazioni varie
40;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
41;Medicazione semplice;Medicazioni varie;031T;medicazioni varie
42;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
43;Medicazioni Avanzate;Medicazione;031T;medicazione
44;Educazione Sanitaria;Aspetti comunicazione paziente e famiglia;122R;aspetti comunicazione paziente e famiglia
46;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
47;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
48;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
49;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami ematici;033T;esami ematici
50;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo sangue venoso;033T;prelievo sangue venoso
51;procedure clinico assistenziali;Terapia infusivonale;015T;terapia infusivonale
52;Medicazioni Avanzate;Medicazioni;031T;medicazioni
53;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami;033T;esami
54;procedure clinico assistenziali;Mobilizzazione;091T;mobilizzazione
55;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
56;Medicazioni Avanzate;Medicazioni LLD, vascolari;031T;medicazioni lld vascolari
57;Medicazione semplice;Medicazione;031T;medicazione
58;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
59;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
60;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
61;PAI, pianificazione, valutazione;Visita di valutazione;002T;visita di valutazione
62;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
63;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
64;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
65;Medicazione semplice;Medicazione;031T;medicazione
66;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
67;PAI, pianificazione, valutazione;Valutazione;002T;valutazione
68;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
69;Monitoraggi e Misurazioni;Monitoraggio clinico assistenziale;004T;monitoraggio clinico assistenziale
70;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
71;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
72;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
73;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
74;Monitoraggi e Misurazioni;Monitoraggio clinico;004T;monitoraggio clinico
75;Monitoraggi e Misurazioni;Misurazione paramentri;004T;misurazione paramentri
76;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
77;Monitoraggi e Misurazioni;Monitoraggio parametri vitali;004T;monitoraggio parametri vitali
78;Monitoraggi e Misurazioni;Monitoraggio PV;004T;monitoraggio pv
80;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
81;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
82;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
83;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
84;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
85;Medicazioni Avanzate;Medicazioni;031T;medicazioni
86;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
87;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
88;Medicazione semplice;Medicazioni;031T;medicazioni
89;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
90;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
91;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
92;Medicazioni Avanzate;Medicazioni;031T;medicazioni
93;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
94;Medicazione semplice;Medicazione;033T;medicazione
95;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
96;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
97;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
98;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
99;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
100;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
101;PAI, pianificazione, valutazione;Valutazione globale;002T;valutazione globale
102;Educazione Sanitaria;Educazione;122R;educazione
104;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
105;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
106;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
107;Monitoraggi e Misurazioni;Monitoraggio/valutazione;004T;monitoraggiovalutazione
108;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
109;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
110;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
111;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
112;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
113;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
114;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
115;Monitoraggi e Misurazioni;Rilevazione pv;004T;rilevazione pv
116;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
117;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
118;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo;033T;prelievo
119;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico, secreti ed escreti;033T;prelievo ematico secreti ed escreti
120;PAI, pianificazione, valutazione;Valutazione;002T;valutazione
121;Monitoraggi e Misurazioni;Monitoraggio parametri vitali;004T;monitoraggio parametri vitali
122;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
123;Medicazione semplice;Medicazioni;031T;medicazioni
124;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
125;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
126;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
127;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
128;procedure clinico assistenziali;Terapia iniettiva;016T;terapia iniettiva
129;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
130;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
131;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
132;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
133;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
134;Monitoraggi e Misurazioni;Monitoraggio patologie croniche;004T;monitoraggio patologie croniche
135;Monitoraggi e Misurazioni;Monitoraggio sintomi disturbanti;004T;monitoraggio sintomi disturbanti
136;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
137;Medicazioni Avanzate;Medicazioni;031T;medicazioni
138;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelevi;033T;prelevi
139;Medicazioni Avanzate;Medicazioni;031T;medicazioni
140;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
141;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
142;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
143;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
144;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
145;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
146;Medicazioni Avanzate;Medicazioni;031T;medicazioni
147;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
148;Medicazioni Avanzate;Medicazioni;031T;medicazioni
149;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
150;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
151;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
152;Medicazione semplice;Medicazioni e bendaggi;023T;medicazioni e bendaggi
153;Medicazioni Avanzate;Medicazione ldp;031T;medicazione ldp
154;Monitoraggi e Misurazioni;Monitoraggio/ gestione  sintomi;004T;monitoraggio gestione  sintomi
155;procedure clinico assistenziali;Terapia ev SC e im;016T;terapia ev sc e im
156;Medicazioni Avanzate;Medicazione ulcere da decubito;032T;medicazione ulcere da decubito
157;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
158;Medicazione semplice;Medicazione;031T;medicazione
159;Medicazione semplice;medicazione semplice;031T;medicazione semplice
160;Medicazioni Avanzate;Medicazione complessa;032T;medicazione complessa
161;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
162;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
163;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
164;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
165;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
166;Monitoraggi e Misurazioni;Monitoraggio clinico assistenziale;004T;monitoraggio clinico assistenziale
167;Medicazioni Avanzate;Medicazioni;032T;medicazioni
168;PAI, pianificazione, valutazione;Gestione pazienti compelessi;002T;gestione pazienti compelessi
169;Educazione Sanitaria;Ascolto-supporto pz/fam;122R;ascoltosupporto pzfam
170;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
171;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
172;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
173;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
174;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
175;Educazione Sanitaria;Colloquio;122R;colloquio
176;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
177;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
178;Medicazioni Avanzate;Medicazione complessa;032T;medicazione complessa
179;Monitoraggi e Misurazioni;Monitoraggio clinico assistenziale;004T;monitoraggio clinico assistenziale
180;Monitoraggi e Misurazioni;Monitoraggio clinico assistenziale;004T;monitoraggio clinico assistenziale
181;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
182;Educazione Sanitaria;Colloquio supporto alla famiglia/caregiver;122R;colloquio supporto alla famigliacaregiver
183;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso periferico;033T;prelievo venoso periferico
184;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
185;Medicazioni Avanzate;Medicazione complessa;032T;medicazione complessa
186;Monitoraggi e Misurazioni;Monitoraggio clinico;004T;monitoraggio clinico
187;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
188;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
189;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
190;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
191;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
192;Monitoraggi e Misurazioni;Monitoraggio parametri, clinico assistenziale e dei segni e sintomi di malattia;004T;monitoraggio parametri clinico assistenziale e dei segni e sintomi di malattia
193;Monitoraggi e Misurazioni;Monitoraggio parametri vitali;004T;monitoraggio parametri vitali
194;Educazione Sanitaria;Comunicazione;122R;comunicazione
195;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico da venipuntura periferica;033T;prelievo ematico da venipuntura periferica
196;Medicazioni Avanzate;Medicazioni avanzate;032T;medicazioni avanzate
197;Monitoraggi e Misurazioni;Misurare i parametri;004T;misurare i parametri
198;Medicazioni Avanzate;Medicazioni;031T;medicazioni
199;Educazione Sanitaria;Ascolto/supporto al paziente e caregiver;122R;ascoltosupporto al paziente e caregiver
200;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
201;Monitoraggi e Misurazioni;Monitoraggio;004T;monitoraggio
202;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
203;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
204;Monitoraggi e Misurazioni;Monitoraggio parametri clinici;004T;monitoraggio parametri clinici
205;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
206;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
207;Monitoraggi e Misurazioni;Monitoraggio parametri vitali;004T;monitoraggio parametri vitali
208;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
209;procedure clinico assistenziali;Medicine;017T;medicine
210;procedure clinico assistenziali;Verbandswechsel;017T;verbandswechsel
211;Medicazioni Avanzate;Medicazioni complesse;032T;medicazioni complesse
212;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematochimico;033T;prelievo ematochimico
213;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
215;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
216;Medicazioni Avanzate;Medicazioni;031T;medicazioni
217;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
218;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
219;Medicazioni Avanzate;Medicazioni;031T;medicazioni
220;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
221;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;033T;terapia ev
222;Medicazioni Avanzate;Medicazioni vascolari;032T;medicazioni vascolari
223;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
224;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
225;Medicazioni Avanzate;Medicazioni ulcere vascolari, ldd, med chirurgiche;032T;medicazioni ulcere vascolari ldd med chirurgiche
226;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico bioumorale;033T;prelievo ematico bioumorale
227;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematochimici;033T;prelievi ematochimici
228;procedure clinico assistenziali;Terapia intramuscolare;016T;terapia intramuscolare
229;Medicazioni Avanzate;Medicazioni semplici e complesse;032T;medicazioni semplici e complesse
231;Medicazioni Avanzate;Medicazioni complesse da lesioni da decubito;032T;medicazioni complesse da lesioni da decubito
232;Medicazione semplice;Medicazioni picc;031T;medicazioni picc
233;procedure clinico assistenziali;Intramuscolare;016T;intramuscolare
234;Medicazioni Avanzate;Medicazioni;031T;medicazioni
235;Medicazioni Avanzate;Medicazioni ulcere;031T;medicazioni ulcere
236;Medicazioni Avanzate;Medicazioni;031T;medicazioni
237;Medicazione semplice;Medicazione;031T;medicazione
238;Medicazioni Avanzate;Medicazione LDD;031T;medicazione ldd
239;Medicazioni Avanzate;Medicazione LDD;031T;medicazione ldd
240;Medicazione semplice;Medicazione;031T;medicazione
241;Medicazioni Avanzate;Medicazioni ulcere vascolari;032T;medicazioni ulcere vascolari
242;Medicazione semplice;Medicazioni lesioni varie;031T;medicazioni lesioni varie
243;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
244;procedure clinico assistenziali;Somministrazione terapia im;016T;somministrazione terapia im
245;Medicazioni Avanzate;Medicazioni ldp;031T;medicazioni ldp
246;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
