Macroprestazione;Note infermieristiche;Prestazione da nomenclatore;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazioni varie;031t;;;
procedure clinico assistenziali;Clistere /svuotamento manuale;080t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Medicazioni Avanzate;Medicazioni ;031t;;;
Medicazioni Avanzate;Medicazioni ;031t;;;
Educazione Sanitaria;Educazione al caregiver;122r;;;
Medicazioni Avanzate;Medicazioni ;031t;;;
procedure clinico assistenziali;Clistere;080t;;;
Medicazioni Avanzate;Medicazioni ;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami ematici;033t;;;
procedure clinico assistenziali;T.EV.;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
procedure clinico assistenziali;Cambio catetere vescicale;065t;;;
procedure clinico assistenziali;Sostituzione catetere vescicale;065t;;;
procedure clinico assistenziali;Fleboclisi;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Medicazioni Avanzate;Medicazioni semplici e avanzate;032t;;;
Medicazioni Avanzate;Medicazione lesioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi emato-urinari;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazione LDD/chirurgica/traumi accidentali;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
procedure clinico assistenziali;Cv;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo;033t;;;
procedure clinico assistenziali;Terapia infusiva e nutrizioni parenterali;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazione semplice;Medicazioni varie;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazione semplice;Medicazioni varie;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Medicazioni Avanzate;Medicazione;031t;;;
Educazione Sanitaria;Aspetti comunicazione paziente e famiglia;122r;;;
procedure clinico assistenziali;Gestione picc e midline;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo sangue venoso;033t;;;
procedure clinico assistenziali;Terapia infusivonale;015t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami;033t;;;
procedure clinico assistenziali;Mobilizzazione;091t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazioni LLD, vascolari;031t;;;
Medicazione semplice;Medicazione;031t;;;
Monitoraggi e Misurazioni;Monitoraggio;004t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
Monitoraggi e Misurazioni;Monitoraggio;004t;;;
PAI, pianificazione, valutazione;Visita di valutazione;002t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
Monitoraggi e Misurazioni;Monitoraggio;004t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
Medicazione semplice;Medicazione;031t;;;
Monitoraggi e Misurazioni;Monitoraggio;004t;;;
PAI, pianificazione, valutazione;Valutazione;002t;;;
