index	macroprestazione	testo	testo_pulito	cod_valoremedio_liquidazione
0	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
1	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	033T
2	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
3	Medicazioni Avanzate	Medicazioni varie	medicazioni varie	031T
4	procedure clinico assistenziali	Clistere /svuotamento manuale	clistere svuotamento manuale	080T
5	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
6	Medicazioni Avanzate	Medicazioni 	medicazioni 	031T
7	Medicazioni Avanzate	Medicazioni 	medicazioni 	031T
8	Educazione Sanitaria	Educazione al caregiver	educazione al caregiver	122R
9	Medicazioni Avanzate	Medicazioni 	medicazioni 	031T
10	procedure clinico assistenziali	Clistere	clistere	080T
11	Medicazioni Avanzate	Medicazioni 	medicazioni 	031T
12	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
13	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
14	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
15	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
16	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Esami ematici	esami ematici	033T
17	procedure clinico assistenziali	T.EV.	tev	016T
18	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
19	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
20	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
21	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	065T
22	procedure clinico assistenziali	Sostituzione catetere vescicale	sostituzione catetere vescicale	065T
23	procedure clinico assistenziali	Fleboclisi	fleboclisi	016T
24	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
25	Medicazioni Avanzate	Medicazioni semplici e avanzate	medicazioni semplici e avanzate	032T
26	Medicazioni Avanzate	Medicazione lesioni	medicazione lesioni	031T
27	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
28	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
30	Medicazioni Avanzate	Medicazioni	medicazioni	031T
31	Medicazioni Avanzate	Medicazione LDD/chirurgica/traumi accidentali	medicazione lddchirurgicatraumi accidentali	031T
32	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
33	procedure clinico assistenziali	Cv	cv	065T
34	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
35	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
36	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo	prelievo	033T
37	procedure clinico assistenziali	Terapia infusiva e nutrizioni parenterali	terapia infusiva e nutrizioni parenterali	016T
38	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
39	Medicazione semplice	Medicazioni varie	medicazioni varie	031T
40	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
41	Medicazione semplice	Medicazioni varie	medicazioni varie	031T
42	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
43	Medicazioni Avanzate	Medicazione	medicazione	031T
44	Educazione Sanitaria	Aspetti comunicazione paziente e famiglia	aspetti comunicazione paziente e famiglia	122R
46	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
47	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
48	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
49	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Esami ematici	esami ematici	033T
50	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo sangue venoso	prelievo sangue venoso	033T
51	procedure clinico assistenziali	Terapia infusivonale	terapia infusivonale	015T
52	Medicazioni Avanzate	Medicazioni	medicazioni	031T
53	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Esami	esami	033T
54	procedure clinico assistenziali	Mobilizzazione	mobilizzazione	091T
55	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
56	Medicazioni Avanzate	Medicazioni LLD, vascolari	medicazioni lld vascolari	031T
57	Medicazione semplice	Medicazione	medicazione	031T
58	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
59	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
60	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
61	PAI, pianificazione, valutazione	Visita di valutazione	visita di valutazione	002T
62	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
63	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
64	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
65	Medicazione semplice	Medicazione	medicazione	031T
66	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
67	PAI, pianificazione, valutazione	Valutazione	valutazione	002T
68	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
69	Monitoraggi e Misurazioni	Monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	004T
70	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
71	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
72	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
73	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
74	Monitoraggi e Misurazioni	Monitoraggio clinico	monitoraggio clinico	004T
75	Monitoraggi e Misurazioni	Misurazione paramentri	misurazione paramentri	004T
76	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
77	Monitoraggi e Misurazioni	Monitoraggio parametri vitali	monitoraggio parametri vitali	004T
78	Monitoraggi e Misurazioni	Monitoraggio PV	monitoraggio pv	004T
80	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
81	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
82	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
83	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
84	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
85	Medicazioni Avanzate	Medicazioni	medicazioni	031T
86	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	033T
87	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
88	Medicazione semplice	Medicazioni	medicazioni	031T
89	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
90	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
91	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
92	Medicazioni Avanzate	Medicazioni	medicazioni	031T
93	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
94	Medicazione semplice	Medicazione	medicazione	033T
95	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
96	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
97	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
98	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
99	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
100	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
101	PAI, pianificazione, valutazione	Valutazione globale	valutazione globale	002T
102	Educazione Sanitaria	Educazione	educazione	122R
104	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
105	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
106	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
107	Monitoraggi e Misurazioni	Monitoraggio/valutazione	monitoraggiovalutazione	004T
108	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
109	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
110	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
111	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
112	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
113	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
114	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
115	Monitoraggi e Misurazioni	Rilevazione pv	rilevazione pv	004T
116	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
117	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
118	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo	prelievo	033T
119	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico, secreti ed escreti	prelievo ematico secreti ed escreti	033T
120	PAI, pianificazione, valutazione	Valutazione	valutazione	002T
121	Monitoraggi e Misurazioni	Monitoraggio parametri vitali	monitoraggio parametri vitali	004T
122	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
123	Medicazione semplice	Medicazioni	medicazioni	031T
124	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
125	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
126	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
127	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
128	procedure clinico assistenziali	Terapia iniettiva	terapia iniettiva	016T
129	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
130	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
131	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
132	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
133	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
134	Monitoraggi e Misurazioni	Monitoraggio patologie croniche	monitoraggio patologie croniche	004T
135	Monitoraggi e Misurazioni	Monitoraggio sintomi disturbanti	monitoraggio sintomi disturbanti	004T
136	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
137	Medicazioni Avanzate	Medicazioni	medicazioni	031T
138	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelevi	prelevi	033T
139	Medicazioni Avanzate	Medicazioni	medicazioni	031T
140	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
141	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
142	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
143	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
144	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
145	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
146	Medicazioni Avanzate	Medicazioni	medicazioni	031T
147	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
148	Medicazioni Avanzate	Medicazioni	medicazioni	031T
149	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
150	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
151	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
152	Medicazione semplice	Medicazioni e bendaggi	medicazioni e bendaggi	023T
153	Medicazioni Avanzate	Medicazione ldp	medicazione ldp	031T
154	Monitoraggi e Misurazioni	Monitoraggio/ gestione  sintomi	monitoraggio gestione  sintomi	004T
155	procedure clinico assistenziali	Terapia ev SC e im	terapia ev sc e im	016T
156	Medicazioni Avanzate	Medicazione ulcere da decubito	medicazione ulcere da decubito	032T
157	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
158	Medicazione semplice	Medicazione	medicazione	031T
159	Medicazione semplice	medicazione semplice	medicazione semplice	031T
160	Medicazioni Avanzate	Medicazione complessa	medicazione complessa	032T
161	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
162	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
163	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
164	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
165	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
166	Monitoraggi e Misurazioni	Monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	004T
167	Medicazioni Avanzate	Medicazioni	medicazioni	032T
168	PAI, pianificazione, valutazione	Gestione pazienti compelessi	gestione pazienti compelessi	002T
169	Educazione Sanitaria	Ascolto-supporto pz/fam	ascoltosupporto pzfam	122R
170	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
171	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
172	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
173	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
174	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
175	Educazione Sanitaria	Colloquio	colloquio	122R
176	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
177	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
178	Medicazioni Avanzate	Medicazione complessa	medicazione complessa	032T
179	Monitoraggi e Misurazioni	Monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	004T
180	Monitoraggi e Misurazioni	Monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	004T
181	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
182	Educazione Sanitaria	Colloquio supporto alla famiglia/caregiver	colloquio supporto alla famigliacaregiver	122R
183	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso periferico	prelievo venoso periferico	033T
184	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
185	Medicazioni Avanzate	Medicazione complessa	medicazione complessa	032T
186	Monitoraggi e Misurazioni	Monitoraggio clinico	monitoraggio clinico	004T
187	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
188	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
189	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
190	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
191	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
192	Monitoraggi e Misurazioni	Monitoraggio parametri, clinico assistenziale e dei segni e sintomi di malattia	monitoraggio parametri clinico assistenziale e dei segni e sintomi di malattia	004T
