index;macroprestazione;testo;testo_pulito;cod_valoremedio_liquidazione;descr_cod_valoremedio_liquidazione;cod_modificato
1459;Educazione Sanitaria;colloquio famigliare, singole, educativi, informativi;colloquio famigliare singole educativi informativi;122T;;122R
2504;Educazione Sanitaria;Colloquio  infermieristico;colloquio  infermieristico;122T;;122R
2525;Educazione Sanitaria;colloquio confamiliari;colloquio confamiliari;122T;;122R
2627;PAI, pianificazione, valutazione;Interventi di supporto;interventi di supporto;122T;;122R
2877;PAI, pianificazione, valutazione;analisi dei bisogni;analisi dei bisogni;122T;;122R
3433;PAI, pianificazione, valutazione;Valutazione;valutazione;122T;;122R
3518;procedure clinico assistenziali;Svuotamento manuale di feci;svuotamento manuale di feci;057R;;085T
3519;procedure clinico assistenziali;Gestione alvo;gestione alvo;057R;;083T
3520;procedure clinico assistenziali;Gestione alvo;gestione alvo;057R;;083T
3521;procedure clinico assistenziali;Gestione alvo;gestione alvo;057R;;083T
3853;Educazione Sanitaria;Educazione sanitaria;educazione sanitaria;122T;;122R
3855;Educazione Sanitaria;Educazione  sanitaria;educazione  sanitaria;122T;;122R
4133;procedure clinico assistenziali;Gestione alvo;gestione alvo;075T;;083T
4525;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Medicazioni accessi venosi centrali;medicazioni accessi venosi centrali;077R;;007T
4534;procedure clinico assistenziali;Manuntenzione devacee;manuntenzione devacee;077R;;031 T
4556;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cvc;gestione cvc;007R;;007T
11439;Educazione Sanitaria;supp. al caregiver;supp al caregiver;112R;;122 R
12725;Educazione Sanitaria;Educazione sanitaria prevenzione lesioni;educazione sanitaria prevenzione lesioni;112R;;122 R
13250;procedure clinico assistenziali;Gestione cateteri venosi centrali (picc e port);gestione cateteri venosi centrali picc e port;007C;;007T
13809;Educazione Sanitaria;Educazione sanitaria;educazione sanitaria;122T;;122R
16568;Educazione Sanitaria;educazione sanitaria;educazione sanitaria;122T;;122R
18954;Educazione Sanitaria;Educazione, supporto caregiver;educazione supporto caregiver;122T;;122R
19981;Educazione Sanitaria;colloqui con pazienti/famigliari;colloqui con pazientifamigliari;112R;;122 R
21204;procedure clinico assistenziali;cambio e educazione su: cateter vescicale e cistifix, Urostomia, Colonstomia, Ileostomia;cambio e educazione su cateter vescicale e cistifix urostomia colonstomia ileostomia;122T;;122R
22302;Educazione Sanitaria;educazione alimentare;educazione alimentare;140R;;140 A
22505;procedure clinico assistenziali;Cure igieniche;cure igieniche;105R;;109 T
22828;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accesso periferico e centrale;gestione accesso periferico e centrale;007R;;007T
22841;procedure clinico assistenziali;Igiene del malato;igiene del malato;105R;;109 T
22907;procedure clinico assistenziali;Cure igieniche;cure igieniche;105R;;109 T
22925;Educazione Sanitaria;Supporto psicologico;supporto psicologico;169T;;169 R
22980;procedure clinico assistenziali;Gestione alvo;gestione alvo;075T;;083T
23002;procedure clinico assistenziali;Gestione alvo;gestione alvo;075T;;083T
23036;procedure clinico assistenziali;Gestione  alvo;gestione  alvo;075T;;083T
23037;procedure clinico assistenziali;Gestione alvo;gestione alvo;075T;;083T
23039;procedure clinico assistenziali;Criteri evacuativi;criteri evacuativi;075T;;080T
23084;procedure clinico assistenziali;Alvo;alvo;075T;;083T
23184;procedure clinico assistenziali;Gestione alvo;gestione alvo;075T;;083T
23324;Educazione Sanitaria;educazione alimentare;educazione alimentare;140R;;140 A
23464;procedure clinico assistenziali;Gestione stomie;gestione stomie;075T;;079T
23472;procedure clinico assistenziali;stomie;stomie;075T;;079T
23497;procedure clinico assistenziali;gestione drenaggi e stomie;gestione drenaggi e stomie;075T;;079T
23560;procedure clinico assistenziali;gestione urostomie ed enterostomie;gestione urostomie ed enterostomie;075T;;063T
23563;procedure clinico assistenziali;gestione enterostomie ed urostomie;gestione enterostomie ed urostomie;075T;;063T
23589;Educazione Sanitaria;Conuseling alimentazione per os;conuseling alimentazione per os;140R;;140 A
23590;Educazione Sanitaria;counseling alimentazione per os;counseling alimentazione per os;140R;;169 R
23598;procedure clinico assistenziali;Gestione stomie;gestione stomie;075T;;079T
23605;procedure clinico assistenziali;Gestione stomie;gestione stomie;075T;;079T
23696;procedure clinico assistenziali;GESTIONE STIPSI;gestione stipsi;075T;;083T
23756;procedure clinico assistenziali;gestione alvo;gestione alvo;075T;;083T
23789;procedure clinico assistenziali;gestione alvo;gestione alvo;075T;;083T
23800;procedure clinico assistenziali;Gestione stomie;gestione stomie;075T;;079T
23809;procedure clinico assistenziali;Gestione e cura cavo orale;gestione e cura cavo orale;059T;;059T
23811;procedure clinico assistenziali;GESTIONE FUNZIONE ALVO;gestione funzione alvo;075T;;083T
23823;procedure clinico assistenziali;Gestione funzione evacuativa;gestione funzione evacuativa;075T;;083T
23862;procedure clinico assistenziali;stomie intestinali;stomie intestinali;075T;;079T
23867;procedure clinico assistenziali;GESTIONE ALVO;gestione alvo;075T;;083T
23868;procedure clinico assistenziali;Gestione Alvo;gestione alvo;075T;;083T
