index	macroprestazione	testo	testo_pulito	testo_corretto	cod_valoremedio_liquidazione	descr_cod_valoremedio_liquidazione
0	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
1	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	prelievo venoso	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
2	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3	Medicazioni Avanzate	Medicazioni varie	medicazioni varie	medicazione varie	031T	Medicazione semplice
4	procedure clinico assistenziali	Clistere /svuotamento manuale	clistere  svuotamento manuale	clistere svuotamento manuale	080T	Preparazione ed effettuazione di clistere
5	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
6	Medicazioni Avanzate	Medicazioni 	medicazioni 	medicazione	031T	Medicazione semplice
7	Medicazioni Avanzate	Medicazioni 	medicazioni 	medicazione	031T	Medicazione semplice
8	Educazione Sanitaria	Educazione al caregiver	educazione al caregiver	educazione al caregiver	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
9	Medicazioni Avanzate	Medicazioni 	medicazioni 	medicazione	031T	Medicazione semplice
10	procedure clinico assistenziali	Clistere	clistere	clistere	080T	Preparazione ed effettuazione di clistere
11	Medicazioni Avanzate	Medicazioni 	medicazioni 	medicazione	031T	Medicazione semplice
12	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
13	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
14	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
15	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
16	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Esami ematici	esami ematici	esame ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
17	procedure clinico assistenziali	T.EV.	t ev 	t endovena	016T	Somministrazione dei medicinali prescritti per via parenterale
18	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
19	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
20	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
21	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	cambio catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
22	procedure clinico assistenziali	Sostituzione catetere vescicale	sostituzione catetere vescicale	sostituzione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
