intervento_sicurezza_list	count

assessment	109
valutazione dolore	88
monitoraggio drenaggio	11
posizionato/riposizionato cvp	7
esami ematici	6
medicazione cvc	6
assessment, valutazione dolore	5
emocolture	5
rilevata glicemia	5
gestione cvc	3
tampone antigenico	3
tampone covid	3
catetere arterioso radiale (gest/med)	2
rimosso cvc	2
tampone rapido	2
emogasanalisi (ega)	1
gestione elastomero	1
medicazione compressiva	1
medicazione lesione sovraombelicale	1
posizionamento monitor	1
posizionato mad	1
presenza della figlia in camera, senza permesso e senza requisiti di sicurezza	1
rimosso cvc radiale	1
rimosso cvp	1
sostituito cvp	1
tampone	1
tampone faringeo	1
urinocoltura	1
valutazione del dolore: monitoraggio cvc	1
