intervento_sicurezza,count
Assessment,53
Assessment; Valutazione del dolore,26
Valutazione del dolore,18
Valutazione dolore,10
Assessment; Valutazione dolore,9
Eseguiti esami ematici,4
"Assessment, Valutazione dolore",4
Monitoraggio drenaggi,2
Valutazione del dolore; Monitoraggio drenaggio,2
Medicazione CVC,2
Tampone antigenico; Eseguiti esami ematici,1
Assessment; Valutazione del dolore; sostituito CVP,1
Assessment; posizionato CVP; Valutazione del dolore,1
Eseguito tampone ,1
Gestione CVC,1
Rimosso il CVC,1
Asssessment; Eseguito tampone rapido; Valutazione dolore,1
Assessment; Monitoraggio drenaggi,1
Assessment; Valutazione del dolore: Monitoraggio CVC; Gestione elastomero,1
Esegue esami ematici,1
Assessment; Valutaizone del dolore,1
Tampone antigenico; Valutazione del dolore,1
Assessment; Gestione CVC; Gestione catetere arterioso radiale,1
Assessment; Valutazione del dolore; rimosso CVC radiale; medicazione CVC,1
Assessment; Medicazione catetere arterioso radiale,1
Posizionato MAD,1
Rimosso il CVC; Medicazione compressiva,1
Assessment; Medicazione sede CVC,1
Assessment; Medicazione emostatica CVC,1
Assessment; Medicazione compressiva CVC; Medicazione lesione sovraombelicale,1
Assessment; Valutazione del dolore; Posizionamento monitor,1
Assessment; eseguite emocolture,1
Monitoraggio drenaggio,1
Tampone Covid; Valutazione dolore,1
Assessment; Valutazione del dolore; Monitoraggio drenaggi,1
Valutazione dolore; Monitoraggio drenaggio,1
Valutazione dolore; Monitoraggio drenaggi; rilevata glicemia,1
Emocolture da CVC e CVP,1
Valutazione dolore; Emocolture da PICC e CVP; posizionato CVP; EGA,1
Assessment; Valutazione dolore; Rilevata glicemia,1
Emocolture; Valutazione dolore,1
Emocolture; Urinocoltura;Valutazione dolore ,1
Valutazione dolore; Rilevata glicemia; Posizionato CVP,1
Valutazione dolore; Riposizionato CVP,1
Posizionato CVP,1
Assessment; Valutazione dolore; Tampone antigenico,1
Assessment; Valutazione dolore; Rilevata glicemia; Riposizionato CVP,1
"Presenza della figlia in camera, senza permesso e senza requisiti di sicurezza",1
Riposizionato CVP,1
Tampone COVID,1
Assessment; Valutazione dolore; Hgt,1
Asssessment; Valutazione dolore,1
"Assesment, Valutazione dolore",1
Assessment; Valutazione dolore; tampone rapido; rimosso CVP,1
Test antigenico per COVID,1
Monitoraggio drenaggio; CVC,1
Valutazione dolore; monitoraggio drenaggio,1
Tampone faringeo,1
