intervento_sicurezza_list,count
Assessment,107
 Valutazione del dolore,32
Valutazione del dolore,20
 Valutazione dolore,18
Valutazione dolore,16
Eseguiti esami ematici,4
"Assessment, Valutazione dolore",4
 Monitoraggio drenaggi,3
 Monitoraggio drenaggio,3
 Rilevata glicemia,3
Monitoraggio drenaggio,2
 Riposizionato CVP,2
Tampone antigenico,2
Medicazione CVC,2
Asssessment,2
Rimosso il CVC,2
Monitoraggio drenaggi,2
 posizionato CVP,2
Emocolture,2
Posizionato MAD,1
Gestione CVC,1
 eseguite emocolture,1
 Posizionamento monitor,1
 Medicazione lesione sovraombelicale,1
 Medicazione compressiva CVC,1
 Eseguiti esami ematici,1
 Valutazione del dolore: Monitoraggio CVC,1
 Gestione elastomero,1
 Medicazione emostatica CVC,1
 Medicazione compressiva,1
 Valutaizone del dolore,1
 Medicazione sede CVC,1
Esegue esami ematici,1
 Gestione CVC,1
 Gestione catetere arterioso radiale,1
 rimosso CVC radiale,1
 sostituito CVP,1
 Medicazione catetere arterioso radiale,1
 medicazione CVC,1
Tampone Covid,1
Eseguito tampone ,1
 Eseguito tampone rapido,1
 monitoraggio drenaggio,1
 rilevata glicemia,1
Emocolture da CVC e CVP,1
 Emocolture da PICC e CVP,1
 EGA,1
 Urinocoltura,1
Valutazione dolore ,1
 Posizionato CVP,1
Posizionato CVP,1
 Tampone antigenico,1
"Presenza della figlia in camera, senza permesso e senza requisiti di sicurezza",1
Riposizionato CVP,1
Tampone COVID,1
 Hgt,1
"Assesment, Valutazione dolore",1
 tampone rapido,1
 rimosso CVP,1
Test antigenico per COVID,1
 CVC,1
Tampone faringeo,1
