word;word_corretta;acronimo;commento
aa;ELIMINARE;;
aaii;ELIMINARE;;
ab;ELIMINARE;;
abilita;abilità;;
abilità;abilità;;
abitative;abitativo;;
abitazione;abitazione;;
abitudini;abitudine;;
acath;port access catheter;port-a-cath;
acccessi;accesso;;
accertamento;accertamento;;
accesdi;accesso;;
accesi;accesso;;
acceso;accesso;;
accessi;accesso;;
accesso;accesso;;
accettazione;accettazione;;
accidentali;accidentale;;
accompagnamento;accompagnare;;
accompagnare;accompagnare;;
acessi;accesso;;
acqua;acqua;;
acuta;acuto;;
acute;acuto;;
addensanti;addensanti;;
addestramenti;addestramento;;
addestramento;addestramento;;
addestrato;addestrato;;
addominale;addominale;;
addominali;addominale;;
addrestramento;addestramento;;
addstramento;addestramento;;
adeguato;adeguato;;
aderenza;aderenza;;
adesivi;adesivo;;
adesivo;adesivo;;
adi;assistenza domiciliare integrata;;
adimed;assistenza domiciliare integrata medica;;
adl;activities of daily living;;
ado;assistenza domiciliare oncologica;;
adozione;adozione;;
adulti;adulto;;
aeree;aeree;;
aerosol;aerosolterapia;;
aerosolterapia;aerosolterapia;;
affiancamento;affiancamento;;
affiancare;affiancare;;
affidate;affidato;;
aggiornamento;aggiornamento;;
aggiornare;aggiornare;;
aghi;ago;;
ago;ago;;
ago_;ago;;
agocannula;agocannula;;
agocanula;agocannula;;
aidcp;assistenza infermieristica diagnosi cura e prevenzione;aidcp;
ail;ELIMINARE;;
aiutare;aiutare;;
aiutarli;aiutare;;
aiuti;aiuto;;
aiuto;aiuto;;
albimona;albumina;;
albumina;albumina;;
albunina;albumina;;
alcune;alcune;;
alimentare;alimentare;;
alimentari;alimentare;;
alimentazione;alimentazione;;
alimentazioni;alimentazione;;
alimentazone;alimentazione;;
alimenti;alimento;;
alleanza;allenza;;
allem;ELIMINARE;;
allenza;alleanza;;
allettamento;allettamento;;
allettato;allettato;;
alta;alto;;
alterazioni;alterazione;;
altezza;altezza;;
altra;altro;;
altre;altro;;
alvo;alvo;;
ambientale;ambientale;;
ambiente;ambiente;;
ambienti;ambiente;;
ambiti;ambito;;
ambito;ambito;;
ambulatori;ambulatorio;;
ambulatoriali;ambulatoriale;;
ambulatorio;ambulatorio;;
amministrazione;amministrazione;;
amo;ano;;
ampolla;ampolla;;
anaelastici;anelastico;;
anaelastico;anelastico;;
analgo;analgosedazione;;
analisi;analisi;;
anamnesi;anamnesi;;
ancoraggio;ancoraggio;;
anderen;altro;;
anelastici;anelastico;;
anestesista;anestesista;;
angehörige;familiari;;
angehörigen;familiari;;
anlage;ELIMINARE;;
antalgica;antalgico;;
antalgiche;antalgico;;
antalgici;antalgico;;
antibiotca;antibiotico;;
antibiotica;antibiotico;;
antibiotiche;antibiotico;;
antibiotici;antibiotico;;
antibiotico;antibiotico;;
antibioticoterapia;antibioticoterapia;;
antibioticotp;antibioticoterapia;;
antibioticoyerapua;antibioticoterapia;;
anticipate;anticipato;;
antidecubito;antidecubito;;
antidekubitusversorgung;gestione dei presidi antidecubito;;
antigenico;anti-igienico;;
antiniotica;antibiotico;;
antitrombotiche;antitrombotico;;
antropometriche;antropometrico;;
apertura;apertura;;
aperture;apertura;;
aplicazione;applicazione;;
app;applicazione;;
apparato;apparato;;
apparecchi;apparecchio;;
apparecchiature;apparecchiatura;;
applicativo;applicativo;;
applicazione;applicazione;;
applicazioni;applicazione;;
approccio;approccio;;
approvvigionamento;approvvigionamento;;
ari;ELIMINARE;;
arri;ELIMINARE;;
arteriosa;arterioso;;
arteriose;arterioso;;
arteriosi;arterioso;;
arterioso;arterioso;;
arti;arto;;
artificiale;artificiale;;
artificiali;artificiale;;
arto;arto;;
artriose;arterioso;;
ascolto;ascolto;;
asili;ausilio;;
asl;azienda sanitaria locale;asl;
aspetti;aspetto;;
aspetto;aspetto;;
aspirazione;aspirazione;;
aspirazioni;aspirazione;;
asportazione;asportazione;;
ass;ELIMINARE;;
assenza;assenza;;
assesment;assessment;;
assessment;assessment;;
assestement;assessment;;
assestment;assessment;;
assieme;assieme;;
assisstenziali;assistenziale;;
assistente;assistente;;
assistenti;assistente;;
assistenza;assistenza;;
assistenziale;assistenziale;;
assistenziali;assistenziale;;
assistita;assistito;;
assistiti;assistito;;
assistito;assistito;;
assisto;assistito;;
assistreziale;assistenziale;;
assit;ELIMINARE;;
assitenza;assistenza;;
assunzione;assunzione;;
